2017,Test average (individual),Test average (overall),Assignments,Tutorials,Exam,Overall,Letter,2018,Test average (individual),Test average (overall),Standards,Exam,Overall,Letter,,2017 Grade distribution,,,2018 Grade distribution,,
,99.44,99.5,94.12,100,100,99.2,A+,,97.7,97.9,105,100,99.3,A+,,A+ (95-100),13,,A+ (97-100),23,
,98.67,98.2,98,100,99.5,99,A+,,99.5,99.5,104,98.4,99.1,A+,,A (87-94),35,,A (91-96),40,
,96.67,96.7,98,100,100,98.7,A+,,99,99.3,105,97.9,98.9,A+,,A- (84-86),13,,A- (88-90),15,
,99.5,99.2,93.29,100,96.5,97.7,A+,,99,99.3,105,97.4,98.7,A+,,B+ (82-83),16,,B+ (85-87),17,
,99.5,99.2,94.03,100,94.5,97.1,A+,,99.5,99.5,103,97.4,98.5,A+,,B (75-81),36,,B (79-84),24,
,98.89,98.5,94.6,100,93.5,96.6,A+,,97.1,97.8,105,97.9,98.5,A+,,B- (72-74),9,,B- (75-78),9,
,97.78,98,90.82,100,93.5,96,A+,,100,100,105,94.7,98.2,A+,,C+ (70-71),11,,C+ (73-74),12,
,95.08,95.1,94.8,100,94.5,95.8,A+,,99.1,99.3,102,96.8,98,A+,,C (65-69),15,,C (67-72),16,(Includes 2 originally incomplete)
,95.14,95.4,90.01,100,95.5,95.7,A+,,98,98.3,102,97.4,97.8,A+,,C- (61-64),18,,C- (64-65),6,
,97.36,97.1,95.6,100,92,95.3,A+,,93.3,95.1,105,98.4,97.7,A+,,D+ (57-60),10,,D+ (61-63),10,
,97.14,96.8,88.69,100,93,95.3,A+,,96.5,97.2,105,96.3,97.7,A+,,D (48-56),18,,D (55-60),8,
,98.33,97.1,86.28,100,94.5,95.1,A+,,95.5,95.9,105,96.8,97.5,A+,,F,18,,F,23,
,90.78,92.2,93.3,100,95.5,95,A+,,96.2,96.9,105,95.8,97.4,A+,,W,24,,W,24,
,94.06,95.2,91.55,100,93,94.1,A,,98,98.2,98,97.9,97.4,A+,,Total,236,,Total,227,
,90.83,92.5,95.99,100,91.5,94,A,,97.3,97.2,105,94.7,97.2,A+,,Among Fs:,,,Among Fs:,,
,92.89,93,96.82,100,90.5,93.6,A,,98,98.4,105,93.9,97.2,A+,,4 DNW,,,5 DNW,,
,97.36,97.3,91.57,100,87,93.5,A,,94.8,95.3,105,96.3,97.1,A+,,7 with <10% on final,,,0 with <10% on final,,
,94.53,94.8,94.49,100,90,93.4,A,,94.5,95.3,105,96.3,97.1,A+,,,,,,,
,95.47,94.3,85.97,100,94,93.2,A,,97.8,98.2,105,92.6,96.8,A+,,,,,,,
,94.86,94.4,91.97,100,88,93,A,,92.9,93.9,105,96.8,96.7,A+,,,,,,,
,96.28,95.9,89.48,100,87.5,92.8,A,,97.5,98.2,105,92.1,96.6,A+,,,,,,,
,95.83,95.5,93.3,100,85,92.5,A,,94.8,95.1,103,96.3,96.5,A+,,,,,,,
,93.33,93.1,96.16,100,88,92.5,A,,92,93.2,105,96.8,96.5,A+,,,,,,,
,94.22,95.1,93.82,90,88.5,92.3,A,,94.5,95.4,105,96.3,96.3,A,,,,,,,
,89.33,91.8,89.06,100,89,92,A,,91.6,93.6,104,95,95.8,A,,,,,,,
,93.17,94.6,90.82,100,85,91.6,A,,89.3,91.8,105,96.8,95.8,A,,,,,,,
,94.39,94.3,85.78,100,90.5,91.6,A,,95.5,96.5,104,95.3,95.7,A,,,,,,,
,96.86,96.4,89.33,100,82.5,91.3,A,,93.5,94.1,105,93.7,95.7,A,,,,,,,
,94.97,94.5,80.49,100,85.5,91,A,,90.5,92,105,95.3,95.5,A,,,,,,,
,91.53,93.9,97.36,100,82,90.9,A,,94.3,94.3,103,93.9,95.5,A,,,,,,,
