Test average (individual),Test average (overall),Assignments,Tutorials,Exam,Overall,Letter,,,,,,
99.44,99.5,94.12,100,100,99.2,A+,,,,,,
98.67,98.2,98,100,99.5,99,A+,,,,,,
96.67,96.7,98,100,100,98.7,A+,,,,,,
99.5,99.2,93.29,100,96.5,97.7,A+,,,,,,
99.5,99.2,94.03,100,94.5,97.1,A+,,,,,,
98.89,98.5,94.6,100,93.5,96.6,A+,,,,,,
97.78,98,90.82,100,93.5,96,A+,,,,,,
95.08,95.1,94.8,100,94.5,95.8,A+,,,,,,
95.14,95.4,90.01,100,95.5,95.7,A+,,,,,,
97.36,97.1,95.6,100,92,95.3,A+,,,,,,
97.14,96.8,88.69,100,93,95.3,A+,,,,,,
98.33,97.1,86.28,100,94.5,95.1,A+,,,,,,
90.78,92.2,93.3,100,95.5,95,A+,,,,,,
94.06,95.2,91.55,100,93,94.1,A,,,,,,
90.83,92.5,95.99,100,91.5,94,A,,,,,,
92.89,93,96.82,100,90.5,93.6,A,,,,,,
97.36,97.3,91.57,100,87,93.5,A,,,,,,
94.53,94.8,94.49,100,90,93.4,A,,,,,,
95.47,94.3,85.97,100,94,93.2,A,,,,,,
94.86,94.4,91.97,100,88,93,A,,,,,,
96.28,95.9,89.48,100,87.5,92.8,A,,,,,,
95.83,95.5,93.3,100,85,92.5,A,,,,,,
93.33,93.1,96.16,100,88,92.5,A,,,,,,
94.22,95.1,93.82,90,88.5,92.3,A,,,,,,
89.33,91.8,89.06,100,89,92,A,,,,,,
93.17,94.6,90.82,100,85,91.6,A,,,,,,
94.39,94.3,85.78,100,90.5,91.6,A,,,,,,
96.86,96.4,89.33,100,82.5,91.3,A,,,,,,
94.97,94.5,80.49,100,85.5,91,A,,,,,,
91.53,93.9,97.36,100,82,90.9,A,,,,,,
87.92,88.3,80.96,100,91.5,90.5,A,,,,,,
92.64,94,92.83,100,81.5,90.4,A,,,,,,
93,93.6,84.49,100,84.5,90.2,A,,,,,,
88.44,91.1,94.64,100,81.5,89.8,A,,,,,,
94.44,95.6,86.4,100,79,89.6,A,,,,,,
91.67,93.6,87.5,100,79.5,89.2,A,,,,,,
89.53,91.9,84.55,100,83,89,A,,,,,,
85.14,85.9,96.77,100,83.5,88.9,A,,,,,,
92.08,93.2,83.22,100,82.5,88.8,A,,,,,,
91.75,92.9,93.15,100,79,88.8,A,,,,,,
86.89,90,90.35,100,82.5,88.6,A,,,,,,
81.33,82.3,77.26,100,92.5,87.8,A,,,,,,
85.83,87.3,80.68,100,82,87.3,A,,,,,,
90.72,92.5,69.33,100,80,87,A,,,,,,
91.11,92,84,90,83,87,A,,,,,,
87.44,89,57.65,100,90.5,86.9,A,,,,,,
91.92,92.1,81.22,100,75.5,86.7,A,,,,,,
81.39,84,77.87,95,87.5,86.5,A,,,,,,
86,89.3,87.58,100,78.5,86.3,A-,,,,,,
81.56,84.8,89.87,100,79.5,86.2,A-,,,,,,
86.39,86.8,79.9,100,80.5,86.1,A-,,,,,,
83.61,85.9,84.61,100,84.5,86,A-,,,,,,
85.28,85.4,97.22,100,74.5,85.2,A-,,,,,,
89.31,90.3,87.96,90,83.5,85.1,A-,,,,,,
82.92,85.9,88.97,100,81.5,85.1,A-,,,,,,
87.83,90.3,81.87,100,73,85.1,A-,,,,,,
93.47,94.1,81.89,80,76,84.9,A-,,,,,,
88.11,90.3,84.03,100,77.5,84.5,A-,,,,,,
86.11,88.7,81.5,100,71.5,84,A-,,,,,,
85.61,88.3,81.39,100,75,83.9,A-,,,,,,
88.61,63.3,81.05,90,78.5,83.5,A-,,,,,,
91.11,89.9,81.03,100,71.5,83.4,B+,,,,,,
86.89,89,65.93,100,75,83.4,B+,,,,,,
83.75,87.9,91.51,100,67,83.3,B+,,,,,,
84.67,86.5,82.37,100,80,83.2,B+,,,,,,
73.61,77,86.16,100,78.5,82.9,B+,,,,,,
83.17,86.5,91.97,95,72,82.9,B+,,,,,,
88.89,89.6,85.41,90,84.5,82.8,B+,,,,,,
80.61,83.2,78.32,100,78,82.7,B+,,,,,,
81.19,85.7,92.35,100,68,82.6,B+,,,,,,
83.86,86.9,77.13,100,70,82.3,B+,,,,,,
90.14,92.1,67.46,100,75,82.3,B+,,,,,,
85.19,88.7,91.71,100,65,82.3,B+,,,,,,
79.78,84.6,84.29,100,68.5,82,B+,,,,,,
84.58,87.4,80.61,100,71.5,82,B+,,,,,,
83.33,86.7,92.37,100,66.5,81.9,B+,,,,,,
82.64,84.9,71.9,100,78.5,81.8,B+,,,,,,
79.72,82.9,82.75,100,69,80.5,B,,,,,,
75.42,81.8,75.1,100,69.5,80.5,B,,,,,,
88.39,89.7,75.25,90,69,80.2,B,,,,,,
80.97,84.4,77.05,100,70,80,B,,,,,,
86.94,90.6,48.95,100,71,79.7,B,,,,,,
83.36,84.5,56.12,100,77.5,79.6,B,,,,,,
72.14,78.1,78.78,100,72.5,79.6,B,,,,,,
68.14,77.1,96.25,100,65,79.2,B,,,,,,
82.22,85.6,76.05,100,65,78.9,B,,,,,,
84.86,86.7,65.06,100,71,78.8,B,,,,,,
78.06,80.2,85.57,100,64,78.8,B,,,,,,
85.81,87.3,81.99,100,61,78.4,B,,,,,,
79.17,84.7,76.85,100,63,78.2,B,,,,,,
79.36,83.2,91.07,100,57,78,B,,,,,,
77.64,82.5,51.01,100,87,77.7,B,,,,,,
69.67,76.1,74.5,100,74,77.6,B,,,,,,
75.78,80.4,83.36,100,65,77.3,B,,,,,,
84.92,87.3,73.38,100,61.5,77.2,B,,,,,,
81.67,83.6,57.81,85,75.5,77.2,B,,,,,,
88.75,89.5,77.63,100,64.5,77.1,B,,,,,,
65.5,74.2,89.87,100,63,76.7,B,,,,,,
72,77.2,87.33,100,61,76.7,B,,,,,,
77.83,80.5,84.88,100,65.5,76.7,B,,,,,,
68.31,74.9,70.88,100,71.5,76.6,B,,,,,,
75.5,78.4,77.9,95,69.5,76.5,B,,,,,,
80.56,84.2,63.94,80,76,76,B,,,,,,
79.92,82.4,76.92,100,58,75.8,B,,,,,,
59.44,69.9,93.15,100,65,75.5,B,,,,,,
70.17,76,87.97,100,63,75.3,B,,,,,,
69.61,77.1,84.49,100,62.5,75.2,B,,,,,,
78.36,82.5,83.55,100,54.5,75.1,B,,,,,,
68.28,75,81.39,100,64.5,75.1,B,,,,,,
59.94,70.1,93.3,100,60,74.9,B,,,,,,
74.44,80.2,92.11,90,57,74.7,B,,,,,,
80,81,72.34,100,60,74.7,B,,,,,,
66.03,73.8,94.64,90,59,74.5,B,,,,,,
78.28,80.2,83.41,100,56.5,73.9,B-,,,,,,
71.53,77.4,64.5,100,64,73.4,B-,,,,,,
75.53,77.3,70.82,100,61.5,73.1,B-,,,,,,
64.86,72.3,85.27,100,56.5,72.9,B-,,,,,,
66.97,73.4,81.49,100,54.5,72.3,B-,,,,,,
64.14,73.1,84.86,100,66,72.3,B-,,,,,,
76.22,80.6,79.07,65,64.5,72.1,B-,,,,,,
69.78,76.5,80.89,100,50,72.1,B-,,,,,,
69.69,77.1,93.3,100,46,72,B-,,,,,,
69.36,77.6,64.8,100,59,70.7,C+,,,,,,
62.11,70.6,72.06,100,61,70.5,C+,,,,,,
66.44,67,70.95,100,69.5,70.2,C+,,,,,,
66.22,73.8,87.96,100,46,70.1,C+,,,,,,
58.28,65.4,79.96,100,58.5,70.1,C+,,,,,,
69.61,75.9,80.97,95,51,69.8,C+,,,,,,
79,82.6,73.07,80,55.5,69.7,C+,,,,,,
71.67,76.2,78.64,80,56,69.7,C+,,,,,,
73.47,78.7,55.64,60,68,69.6,C+,,,,,,
65.58,73.3,81.88,100,49.5,69.5,C+,,,,,,
75.89,80.7,83.61,95,47.5,69.3,C+,,,,,,
59.92,70,81.5,100,47,68.8,C,,,,,,
71.03,75.6,81.09,100,45.5,68.3,C,,,,,,
69.31,75.9,82.07,100,43,68.1,C,,,,,,
70.56,74.7,84.46,90,57,67.7,C,,,,,,
45.56,60.4,88.67,100,51.5,67.1,C,,,,,,
67.39,71.5,63.2,100,59,67.1,C,,,,,,
52.58,64.7,83.65,95,46.5,66.4,C,,,,,,
69.44,76.6,88.75,75,45.5,66.4,C,,,,,,
69.53,75.2,41.01,100,56.5,65.2,C,,,,,,
64.06,69.9,69.9,100,45.5,64.8,C,,,,,,
68.31,76,90,90,36.5,64.7,C,,,,,,
66.28,73.2,89.97,100,33.5,64.4,C,,,,,,
61.74,63.9,82.03,100,49,64.2,C,,,,,,
68.03,71.9,77.4,100,48,64.2,C,,,,,,
66.25,73.1,57.01,100,49,64.1,C,,,,,,
61.28,69.6,88.37,100,37,64,C-,,,,,,
63.08,71.2,71.49,100,35.5,63.9,C-,,,,,,
64.97,70,75.91,85,46.5,63.6,C-,,,,,,
56.47,67.7,83.08,90,45,63.4,C-,,,,,,
77.64,81.5,72.54,100,39,63.2,C-,,,,,,
59.17,65.8,73.98,100,44,63,C-,,,,,,
68.47,74.9,80.58,50,47.5,63,C-,,,,,,
70.89,76.7,51.59,80,44,62.9,C-,,,,,,
61.64,70.3,80.89,100,34,62.8,C-,,,,,,
66.39,73,64.25,90,46,62.8,C-,,,,,,
