Tests,TestsG,Standards,Exam,Overall,Letter
97.7,97.9,105,100,99.3,A+
99.5,99.5,104,98.4,99.1,A+
99,99.3,105,97.9,98.9,A+
99,99.3,105,97.4,98.7,A+
99.5,99.5,103,97.4,98.5,A+
97.1,97.8,105,97.9,98.5,A+
100,100,105,94.7,98.2,A+
99.1,99.3,102,96.8,98,A+
98,98.3,102,97.4,97.8,A+
93.3,95.1,105,98.4,97.7,A+
96.5,97.2,105,96.3,97.7,A+
95.5,95.9,105,96.8,97.5,A+
96.2,96.9,105,95.8,97.4,A+
98,98.2,98,97.9,97.4,A+
97.3,97.2,105,94.7,97.2,A+
98,98.4,105,93.9,97.2,A+
94.8,95.3,105,96.3,97.1,A+
94.5,95.3,105,96.3,97.1,A+
97.8,98.2,105,92.6,96.8,A+
92.9,93.9,105,96.8,96.7,A+
97.5,98.2,105,92.1,96.6,A+
94.8,95.1,103,96.3,96.5,A+
92,93.2,105,96.8,96.5,A+
94.5,95.4,105,96.3,96.3,A
91.6,93.6,104,95,95.8,A
89.3,91.8,105,96.8,95.8,A
95.5,96.5,104,95.3,95.7,A
93.5,94.1,105,93.7,95.7,A
90.5,92,105,95.3,95.5,A
94.3,94.3,103,93.9,95.5,A
93.8,94.9,102,93.7,95.4,A
90.8,92.5,105,94.2,95.4,A
93.6,94.4,103,95.8,95.3,A
94.7,95,99,94.7,95.3,A
97.6,98.2,105,87.4,94.9,A
93.7,94.5,95,97.4,94.9,A
89.6,91.5,105,93.7,94.8,A
94.1,95.3,105,89.5,94.4,A
94.2,94.4,105,88.4,94,A
90,92.6,101,93.2,94,A
89.2,90.4,105,91.6,93.6,A
95.5,96.5,105,89.5,92.9,A
94.5,95,102,87.9,92.7,A
85.4,87.4,105,92.1,92.7,A
92.4,93.1,105,85.3,92.4,A
91.5,92.9,105,87.9,92.4,A
87.1,90,105,87.9,92.2,A
91.3,91.7,95,91.6,92.2,A
88.3,90.6,103,87.9,92.1,A
88.7,90.4,100,90,92.1,A
85.3,89,105,88.4,92.1,A
88.7,90.7,105,86.8,92,A
87.3,88.4,105,88.4,91.9,A
92,93.6,103,84.2,91.8,A
92.4,93.7,105,83.4,91.8,A
91.2,92.1,97,90.5,91.5,A
85.5,87.3,103,90,91.5,A
90.5,92.6,105,82.9,91.4,A
89.4,92.4,101,85.3,91.3,A
96.4,96.8,85,92.6,91.3,A
84.8,88,94,94.2,91.2,A
94.6,94.7,105,79.5,91,A
85.1,86.8,100,89.5,90.8,A
86.7,87.7,105,84.7,90.3,A-
84.7,88.2,105,85.3,90.3,A-
82.6,86.4,105,85.3,90,A-
85.9,87.4,105,83.7,89.9,A-
84.9,85.7,103,85.8,89.6,A-
